Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/29/2020 02:19:42 pm,56.00,40.000,01/29/2020 02:21:08 pm,56.00,36.000,01/29/2020 02:24:58 pm,56.00,43.000,01/29/2020 02:26:00 pm,56.00,50.000,01/29/2020 02:31:32 pm,112.00,85.000,01/29/2020 02:34:19 pm,112.00,96.000,01/29/2020 02:36:28 pm,112.00,88.000,01/29/2020 02:49:24 pm,280.00,303.000
01/29/2020 02:19:43 pm,57.00,37.000,01/29/2020 02:21:09 pm,57.00,40.000,01/29/2020 02:24:59 pm,57.00,40.000,01/29/2020 02:26:01 pm,57.00,35.000,01/29/2020 02:31:34 pm,114.00,87.000,01/29/2020 02:34:21 pm,114.00,78.000,01/29/2020 02:36:30 pm,114.00,82.000,01/29/2020 02:49:29 pm,285.00,354.000
01/29/2020 02:19:44 pm,58.00,51.000,01/29/2020 02:21:10 pm,58.00,43.000,01/29/2020 02:25:00 pm,58.00,46.000,01/29/2020 02:26:02 pm,58.00,46.000,01/29/2020 02:31:36 pm,116.00,78.000,01/29/2020 02:34:23 pm,116.00,97.000,01/29/2020 02:36:32 pm,116.00,79.000,01/29/2020 02:49:34 pm,290.00,334.000
01/29/2020 02:19:45 pm,59.00,36.000,01/29/2020 02:21:11 pm,59.00,39.000,01/29/2020 02:25:01 pm,59.00,52.000,01/29/2020 02:26:03 pm,59.00,34.000,01/29/2020 02:31:38 pm,118.00,86.000,01/29/2020 02:34:25 pm,118.00,75.000,01/29/2020 02:36:34 pm,118.00,92.000,01/29/2020 02:49:39 pm,295.00,285.000
01/29/2020 02:19:46 pm,60.00,39.000,01/29/2020 02:21:12 pm,60.00,49.000,01/29/2020 02:25:02 pm,60.00,30.000,01/29/2020 02:26:04 pm,60.00,49.000,01/29/2020 02:31:40 pm,120.00,84.000,01/29/2020 02:34:27 pm,120.00,73.000,01/29/2020 02:36:36 pm,120.00,87.000,01/29/2020 02:49:44 pm,300.00,276.000
01/29/2020 02:19:47 pm,61.00,46.000,,,,,,,,,,,,,,,,,,,,,
01/29/2020 02:19:48 pm,62.00,49.000,,,,,,,,,,,,,,,,,,,,,
01/29/2020 02:19:49 pm,63.00,54.000,,,,,,,,,,,,,,,,,,,,,
01/29/2020 02:19:50 pm,64.00,50.000,,,,,,,,,,,,,,,,,,,,,
01/29/2020 02:19:51 pm,65.00,42.000,,,,,,,,,,,,,,,,,,,,,
01/29/2020 02:19:52 pm,66.00,35.000,,,,,,,,,,,,,,,,,,,,,
01/29/2020 02:19:53 pm,67.00,43.000,,,,,,,,,,,,,,,,,,,,,
01/29/2020 02:19:54 pm,68.00,27.000,,,,,,,,,,,,,,,,,,,,,
